INFO 2025-01-26 05:12:39,145 autoreload Watching for file changes with StatReloader
WARNING 2025-01-26 05:12:56,342 log Not Found: /
WARNING 2025-01-26 05:12:56,347 basehttp "GET / HTTP/1.1" 404 2594
WARNING 2025-01-26 05:12:56,682 log Not Found: /favicon.ico
WARNING 2025-01-26 05:12:56,682 basehttp "GET /favicon.ico HTTP/1.1" 404 2645
INFO 2025-01-26 05:13:06,928 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-01-26 05:13:07,401 basehttp "GET /admin/ HTTP/1.1" 200 15767
INFO 2025-01-26 05:13:21,848 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 18100
INFO 2025-01-26 05:13:22,106 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-26 05:13:50,016 audio_record Audio upload request received.
INFO 2025-01-26 05:13:50,184 audio_record AudioRecord 2da4d70c401c4ac1b67808d6b483014f saved successfully.
INFO 2025-01-26 05:13:52,668 audio_record Audio file duration: 7.462167 seconds
INFO 2025-01-26 05:13:52,668 audio_record AudioRecord 2da4d70c401c4ac1b67808d6b483014f processed successfully.
INFO 2025-01-26 05:13:52,671 basehttp "POST /upload_audio/ HTTP/1.1" 200 217
INFO 2025-01-26 05:14:15,055 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19054
INFO 2025-01-26 05:14:15,226 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-26 05:15:29,829 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19054
INFO 2025-01-26 05:15:29,996 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-26 05:28:52,120 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19054
INFO 2025-01-26 05:28:52,274 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-26 05:28:59,562 basehttp "POST /admin/app/audiorecord/ HTTP/1.1" 200 13007
INFO 2025-01-26 05:28:59,872 basehttp "GET /static/admin/js/cancel.js HTTP/1.1" 200 884
INFO 2025-01-26 05:29:01,197 basehttp "POST /admin/app/audiorecord/ HTTP/1.1" 302 0
INFO 2025-01-26 05:29:01,355 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 18242
INFO 2025-01-26 05:29:01,512 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-26 05:29:06,873 audio_record Audio upload request received.
INFO 2025-01-26 05:29:07,018 audio_record AudioRecord 16a65747c249471a979124afbc80e1ec saved successfully.
INFO 2025-01-26 05:29:07,162 audio_record Audio file duration: 7.462167 seconds
INFO 2025-01-26 05:29:07,162 audio_record AudioRecord 16a65747c249471a979124afbc80e1ec processed successfully.
INFO 2025-01-26 05:29:07,162 basehttp "POST /upload_audio/ HTTP/1.1" 200 217
INFO 2025-01-26 05:29:20,465 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19054
INFO 2025-01-26 05:29:20,623 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-26 05:35:44,718 audio_record Fetching unprocessed audio records.
INFO 2025-01-26 05:37:34,649 audio_record Fetching unprocessed audio records.
INFO 2025-01-26 05:43:12,726 audio_record Fetching unprocessed audio records.
INFO 2025-01-26 05:46:38,890 audio_record Fetching unprocessed audio records.
INFO 2025-01-28 01:15:54,753 autoreload Watching for file changes with StatReloader
WARNING 2025-01-28 01:19:25,323 log Not Found: /
WARNING 2025-01-28 01:19:25,325 basehttp "GET / HTTP/1.1" 404 2594
INFO 2025-01-28 01:19:30,401 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4164
INFO 2025-01-28 01:19:30,493 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-01-28 01:19:30,494 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-01-28 01:19:30,496 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-01-28 01:19:30,537 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-01-28 01:19:30,539 basehttp "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-01-28 01:19:30,539 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
